No,G,N,E,O,A,C,T,RF,WHR,RHL,REF,REL,REH,RNO,RNL,RHO,RML,RTC,RJ1,RJ2,RJ3,RJ4,RUI,RBL,RBH,RWH,RWM,RMW,RMH,RNM,RNF,RMF
2014043102,1,44,41,15,45,39,4,1.0641,2.1114,3.7009,0.4397,0.1646,0.0473,0.669,0.3301,0.2075,0.4497,0.3123,0.8106,0.6729,0.4828,0.259,0.1751,0.1218,0.3276,2.8633,2.2361,0.3623,0.1478,0.2567,0.5870000000000001,0.3123
2014043117,1,15,26,14,43,46,5,0.9725,2.0278,3.2259,0.4934,0.2016,0.0608,0.5828,0.3244,0.1944,0.4662,0.3379,0.8059999999999999,0.6533,0.4724,0.2504,0.1841,0.1366,0.3405,2.4235,2.0,0.3475,0.1351,0.2836,0.6079,0.3379
2014043119,1,-6,29,-6,53,34,4,1.082,1.97,3.0259,0.4101,0.168,0.0601,0.5011,0.3909,0.18100000000000002,0.456,0.3008,0.8196,0.6816,0.4739,0.2514,0.1827,0.1302,0.3144,2.6134,2.3599,0.3058,0.1211,0.2558,0.5566,0.3008
2014053103,1,75,-6,-13,53,34,1,0.9948,1.8707,3.1839999999999997,0.4707,0.1868,0.0584,0.5322,0.3699,0.1979,0.4593,0.289,0.8258,0.6628,0.4654,0.2327,0.1826,0.1419,0.3454,2.4209,2.1538,0.37200000000000005,0.1503,0.2659,0.5665,0.289
2014053124,1,26,65,42,44,60,2,0.9917,1.9345,3.2858,0.4336,0.1687,0.0509,0.4568,0.3636,0.1675,0.4124,0.2979,0.7332,0.5835,0.4166,0.2166,0.23399999999999999,0.1169,0.3018,2.5608,1.8889,0.3503,0.1487,0.2155,0.5299,0.2979
2014053212,1,13,35,23,13,44,5,1.1847,2.1724,2.7083,0.4297,0.1719,0.0752,0.5734,0.3887,0.1881,0.4478,0.2968,0.8127,0.6564,0.4534,0.2349,0.0962,0.1379,0.3702,3.1809,3.0,0.3438,0.1111,0.2592,0.5742,0.2968
2014053227,1,-10,70,50,5,47,2,1.1237,2.2277,3.4235,0.4399,0.1711,0.0562,0.5625,0.3595,0.18,0.451,0.3146,0.8001,0.6402,0.4603,0.24,0.1951,0.1025,0.3314,3.6335,2.6077,0.3006,0.1124,0.2247,0.5393,0.3146
2014053229,1,13,24,-4,48,69,5,1.0896,2.0286,3.2616,0.4454,0.1815,0.0606,0.5,0.3881,0.1781,0.4488,0.2687,0.7808,0.6166,0.4249,0.2192,0.1666,0.1434,0.3426,2.6026,2.5,0.3288,0.1194,0.2239,0.4928,0.2687
2014061126,1,16,53,31,4,18,2,1.095,2.1124,3.1004,0.4311,0.1646,0.0581,0.5789,0.3585,0.1895,0.4602,0.2836,0.8115,0.6557,0.4656,0.2419,0.2083,0.1148,0.3274,3.1236,2.2902,0.3278,0.1321,0.2453,0.5475,0.2836
2014062116,1,60,35,35,18,16,1,1.1093,2.0902,4.0552,0.4366,0.1713,0.0469,0.5417,0.375,0.1831,0.4445,0.2968,0.8027,0.6621,0.4507,0.2394,0.1617,0.135,0.3317,2.7259,2.8571,0.3383,0.1094,0.2349,0.5314,0.2968
2014062323,0,-7,56,51,21,95,5,0.9916,1.8058,2.7111,0.4296,0.1702,0.0623,0.5015,0.3829,0.1937,0.4854,0.2608,0.8418,0.6838,0.4909,0.2805,0.1926,0.1412,0.335,2.352,3.8,0.4033,0.0869,0.2434,0.5042,0.2608
2014063102,1,13,59,43,37,74,5,1.1476,2.0896,3.2661,0.4286,0.1674,0.0588,0.5733,0.4043,0.20199999999999999,0.456,0.2892,0.8062,0.6351,0.4432,0.23199999999999998,0.1429,0.1296,0.3345,2.9613,2.3386,0.33299999999999996,0.1389,0.2433,0.5325,0.2892
2014063109,1,38,52,23,39,59,5,1.0425,1.8725,2.397,0.4334,0.1613,0.0701,0.5198,0.375,0.187,0.4535,0.2642,0.7994,0.6395,0.45299999999999996,0.2402,0.1695,0.1367,0.3271,2.4945,3.5384,0.36,0.0982,0.292,0.5696,0.2642
2014063218,1,31,37,17,25,39,5,1.0313,2.0506,2.6914,0.4225,0.1617,0.062,0.5185,0.3313,0.1666,0.4346,0.3067,0.7853,0.6545,0.46399999999999997,0.2379,0.172,0.1583,0.3497,2.2783,2.3,0.3331,0.1227,0.2457,0.5522,0.3067
2014064204,1,36,46,24,61,35,4,1.1649,2.1983,3.1127,0.431,0.1706,0.0638,0.5814,0.3628,0.1811,0.4398,0.3039,0.7839,0.6312,0.4283,0.2247,0.1727,0.1382,0.3303,2.7837,2.2626,0.3043,0.1268,0.2531,0.5569,0.3039
2014064226,1,1,65,72,73,91,5,1.0943,2.073,3.2116,0.4483,0.1661,0.0566,0.5523,0.3773,0.1904,0.4341,0.2648,0.7759,0.6207,0.431,0.2248,0.2173,0.1438,0.3115,2.3703,2.1429,0.2931,0.1321,0.2272,0.4905,0.2648
2014081101,1,56,20,15,42,35,1,1.0051,2.0596,2.5781,0.4364,0.1778,0.0693,0.5293,0.3356,0.1767,0.4411,0.2859,0.8038,0.6666,0.4608,0.2451,0.1907,0.1579,0.3357,2.1366,1.7346,0.3138,0.1478,0.2562,0.5518,0.2859
2014081116,0,41,20,14,29,38,1,0.8938,1.7581,3.7669,0.4751,0.1719,0.0408,0.5401,0.3521,0.2128,0.4685,0.3158,0.8474,0.7041,0.5159,0.2756,0.1673,0.1377,0.3457,2.2441,1.5909,0.3313,0.1529,0.2557,0.584,0.3158
2014081121,0,44,48,18,9,49,5,1.085,2.0141,3.7205,0.4338,0.1623,0.0473,0.4894,0.3983,0.1797,0.4748,0.2799,0.8434,0.6875,0.4766,0.242,0.1527,0.115,0.32799999999999996,3.0957,1.88,0.3048,0.1442,0.2132,0.5007,0.2799
2014081221,0,-31,67,29,14,80,5,0.9463,1.7949,2.7793,0.4429,0.163,0.0555,0.4983,0.3668,0.1931,0.4593,0.305,0.8054,0.644,0.467,0.258,0.2155,0.1228,0.3227,2.4866,2.1122,0.3384,0.1228,0.2437,0.5492,0.305
2014081309,1,62,7,21,30,52,1,1.0897,2.0,3.0356,0.4586,0.1799,0.0646,0.5482,0.3973,0.1998,0.452,0.2561,0.7988,0.6464,0.4466,0.235,0.191,0.1346,0.3241,2.6239999999999997,2.694,0.3772,0.1285,0.2443,0.5141,0.2561
2014081315,1,-34,84,58,56,107,5,1.092,2.1277,3.6039,0.4398,0.1764,0.0534,0.5514,0.3818,0.1928,0.4606,0.3026,0.8314,0.6628,0.45799999999999996,0.2292,0.1917,0.1397,0.3323,2.5982,2.891,0.3616,0.1184,0.2241,0.5264,0.3026
2014081605,0,3,15,1,52,59,5,1.1869,2.1484,3.2758,0.4487,0.172,0.0623,0.6081,0.3741,0.1917,0.4558,0.2848,0.8219,0.6712,0.4725,0.2536,0.1667,0.1467,0.3426,2.7725,2.1549,0.3355,0.1546,0.2682,0.5608,0.2848
2014081617,1,19,22,21,25,43,5,1.073,2.002,2.2946,0.4324,0.1542,0.0721,0.5318,0.3508,0.1739,0.4328,0.3097,0.7874,0.6339,0.4612,0.2503,0.19,0.1355,0.3289,2.6048,2.3393,0.3269,0.1236,0.2678,0.5772,0.3097
2014082301,0,40,-1,12,17,13,1,1.0825,2.148,2.93,0.4323,0.1529,0.0565,0.5583,0.3301,0.1702,0.4411,0.3117,0.8138,0.6784,0.4924,0.2716,0.1873,0.1495,0.3312,2.3975,1.875,0.28800000000000003,0.1467,0.2574,0.5870000000000001,0.3117
2014082327,0,-21,40,36,-2,46,5,1.0687,1.9680000000000002,4.2512,0.4274,0.1581,0.0397,0.5333,0.3878,0.1935,0.462,0.2849,0.8305,0.6854,0.4838,0.258,0.2051,0.1321,0.3171,2.5651,2.4224,0.3306,0.121,0.2328,0.5096,0.2849
2014082401,1,44,43,10,61,56,4,1.11,2.2931,2.7688,0.4101,0.1521,0.061,0.5285,0.3371,0.1605,0.4464,0.3167,0.8032,0.6422,0.4461,0.2325,0.2325,0.1098,0.2977,3.0081,1.8571,0.2859,0.1386,0.2375,0.574,0.3167
2014082427,0,62,7,28,-37,40,1,0.9715,2.0275,3.0828,0.4633,0.184,0.057999999999999996,0.5664,0.3287,0.1917,0.4496,0.35700000000000004,0.7943,0.6616,0.4704,0.2503,0.1752,0.1542,0.348,2.1923,2.0039,0.3237,0.1142,0.2432,0.5999,0.35700000000000004
2014083110,1,-7,56,74,47,35,3,1.056,1.8963,3.2088,0.4602,0.1762,0.057999999999999996,0.5126,0.3833,0.1861,0.4619,0.243,0.7699,0.6195,0.4336,0.2212,0.1572,0.1191,0.3329,2.9503,2.3846,0.3363,0.1215,0.2618,0.5141,0.243
2014083122,0,78,-14,35,25,45,1,1.0362,2.1083,3.4976,0.4215,0.158,0.0468,0.5019,0.3631,0.1759,0.4558,0.3284,0.8417,0.6834,0.4728,0.2631,0.1749,0.1103,0.3334,3.1322,2.5055,0.3155,0.1088,0.2184,0.5467,0.3284
2014083201,1,36,20,-5,45,41,4,1.0785,2.077,3.2671,0.4455,0.1782,0.0588,0.5789,0.3725,0.2,0.4458,0.3333,0.8,0.6636,0.4545,0.2364,0.1685,0.1548,0.3379,2.3542,3.4444,0.3363,0.0882,0.2353,0.5588,0.3333
2014083306,0,67,32,12,23,18,1,1.0807,2.0348,3.5083,0.4501,0.1509,0.0465,0.6,0.3602,0.2,0.4595,0.2887,0.8002,0.65,0.45,0.2333,0.18,0.1382,0.3443,2.6931,2.0039,0.3167,0.1441,0.2702,0.5586,0.2887
2014083322,1,20,87,43,15,78,2,0.9711,1.868,2.8503,0.4851,0.1834,0.0625,0.5412,0.3557,0.1983,0.4358,0.2987,0.7824,0.6438,0.4555,0.2475,0.2096,0.175,0.3471,1.926,2.6364,0.3566,0.1058,0.2699,0.5686,0.2987
2014091211,1,58,28,35,44,45,1,1.0512,1.9852,2.6541,0.4718,0.1775,0.0703,0.541,0.37,0.1904,0.4592,0.31,0.8277,0.6849,0.4755,0.2474,0.1858,0.1024,0.3341,3.4302,2.3896,0.3523,0.1299,0.2699,0.5998,0.31
2014093105,1,60,16,15,27,12,1,1.0792,2.0474,3.4621,0.4454,0.1645,0.0513,0.6139,0.3711,0.2111,0.4455,0.3305,0.7891,0.6406,0.461,0.2501,0.175,0.1271,0.33299999999999996,2.8262,2.9921,0.3673,0.1099,0.2447,0.5665,0.3305
2014095101,1,40,12,1,41,37,4,0.9657,1.7952,2.4501,0.4616,0.1746,0.0688,0.4819,0.3584,0.1788,0.4566,0.2915,0.8271,0.6999,0.506,0.275,0.1699,0.1306,0.341,2.5208,1.831,0.3289,0.145,0.27699999999999997,0.5831,0.2915
2014095111,1,53,37,33,43,31,1,1.1067,1.8535,3.1888,0.5029,0.1967,0.0683,0.5937,0.4143,0.2222,0.4479,0.2719,0.8012,0.6608,0.4679,0.2574,0.1614,0.1321,0.3815,3.195,2.6842,0.3685,0.12300000000000001,0.2657,0.5505,0.2719
2014095112,1,-4,25,19,23,54,5,1.0686,2.0981,3.0801,0.4175,0.1707,0.0592,0.5285,0.3529,0.1745,0.4432,0.3339,0.8074,0.6698,0.4771,0.257,0.1928,0.1235,0.3074,2.6589,3.1016,0.3396,0.098,0.2551,0.5889,0.3339
2014095113,1,25,56,39,33,54,2,1.0239,1.9445,3.9612,0.4537,0.1673,0.0432,0.5128,0.3697,0.1852,0.44,0.275,0.7779,0.6296,0.4445,0.2314,0.1981,0.1349,0.3399,2.5804,1.8667,0.324,0.1422,0.2277,0.5308,0.275
2014095118,1,51,57,22,30,40,2,1.0425,2.0733,2.8302,0.4825,0.1831,0.0674,0.5725,0.3433,0.1886,0.4588,0.3442,0.8587,0.7293,0.518,0.2825,0.1972,0.11800000000000001,0.3366,2.9726,2.8712,0.3648,0.111,0.2943,0.6509,0.3442
2014095123,1,31,27,8,20,24,1,1.006,1.8863,3.1645,0.4527,0.1798,0.0572,0.6042,0.3616,0.2172,0.4442,0.2839,0.8001,0.6494,0.461,0.2448,0.203,0.1581,0.3377,2.1486,2.3825,0.358,0.1234,0.2557,0.5395,0.2839
2014095209,1,54,4,25,50,18,1,1.1611,2.1205,2.9254,0.4097,0.1638,0.065,0.5337,0.3629,0.1668,0.4379,0.3226,0.778,0.6322,0.4446,0.2365,0.2162,0.1069,0.3028,3.2902,2.9908,0.3056,0.0971,0.2662,0.5807,0.3226
2014111322,0,50,39,14,24,19,1,1.0281,1.893,3.0366,0.426,0.1686,0.0571,0.473,0.36200000000000004,0.1666,0.4461,0.305,0.8151,0.648,0.4626,0.2413,0.18600000000000003,0.1274,0.3251,2.6233,2.0051,0.2967,0.1332,0.2854,0.5901,0.305
2014111422,0,38,47,14,13,32,2,0.9829,2.001,2.9917,0.4254,0.1727,0.0567,0.5402,0.33899999999999997,0.1863,0.4696,0.3387,0.8590000000000001,0.7174,0.5047,0.2744,0.1691,0.1532,0.3396,2.1790000000000003,1.9447,0.3543,0.1476,0.2606,0.608,0.3387
2014112110,0,12,94,22,8,6,2,0.9585,1.7696,3.305,0.4455,0.1521,0.0441,0.5625,0.3333,0.1956,0.4461,0.3125,0.7824,0.652,0.4564,0.2391,0.2432,0.1318,0.3074,2.2361,1.8571,0.3477,0.1458,0.2917,0.6041,0.3125
2014112119,0,43,35,18,38,18,1,1.0475,1.8824,3.5083,0.4395,0.1595,0.0476,0.5217,0.365,0.1818,0.4417,0.3015,0.7879,0.6364,0.4548,0.2424,0.1635,0.1323,0.354,2.8032,1.8605,0.2883,0.128,0.2857,0.5874,0.3015
2014112127,0,10,1,11,33,26,4,0.963,1.9007,3.1845,0.4516,0.1761,0.0533,0.6002,0.344,0.2144,0.4541,0.3187,0.8173,0.6877,0.4995,0.266,0.1428,0.1625,0.3535,2.0954,1.912,0.3317,0.1375,0.2436,0.5686,0.3187
2014112229,1,15,27,22,30,60,5,1.0182,1.9646,3.0208,0.4374,0.1706,0.0575,0.6,0.3636,0.2143,0.431,0.2909,0.7679,0.6073,0.4285,0.2321,0.2609,0.1285,0.3082,2.4413,2.4286,0.3571,0.1273,0.2189,0.5093,0.2909
2014112322,1,36,34,30,34,25,1,0.9967,1.9422,3.1217,0.4761,0.17600000000000002,0.0562,0.6109,0.3466,0.2124,0.4509,0.2913,0.7867,0.6178,0.4377,0.2355,0.2127,0.1237,0.3311,2.6683,1.9068,0.3357,0.1464,0.2692,0.5604,0.2913
2014114221,1,42,59,47,27,71,5,1.0661,2.228,2.8689999999999998,0.4457,0.1683,0.0625,0.5682,0.3636,0.1938,0.4559,0.3059,0.8453,0.6977,0.4962,0.2558,0.1983,0.1206,0.3295,2.9138,2.3537,0.3644,0.1405,0.1903,0.5537,0.3059
2014121206,1,37,55,21,42,74,5,1.1272,2.1775,3.8,0.4194,0.1532,0.0455,0.5789,0.3454,0.1774,0.4443,0.3091,0.7905,0.629,0.4358,0.2258,0.201,0.1286,0.3242,2.842,2.3333,0.2908,0.1091,0.2733,0.5821,0.3091
2014121320,1,42,2,6,34,50,5,0.9948,1.9534,3.0980000000000003,0.42100000000000004,0.165,0.053,0.5994,0.3273,0.1972,0.4412,0.3265,0.8171,0.6722,0.4869,0.2637,0.1339,0.1619,0.34600000000000003,2.1262,2.2114,0.3282,0.1182,0.27399999999999997,0.6004,0.3265
2014122115,1,29,41,36,19,-12,2,1.1167,2.0905,3.2732,0.4168,0.156,0.0532,0.5713,0.3832,0.1961,0.4583,0.3103,0.8073,0.644,0.4511,0.2355,0.2149,0.1275,0.3119,2.7310000000000003,3.0657,0.366,0.1095,0.2262,0.5365,0.3103
2014122213,1,0,10,-1,35,0,4,0.9540000000000001,2.0001,3.5908,0.47,0.1757,0.0467,0.5806,0.3563,0.2169,0.47,0.322,0.8675,0.7353,0.5066,0.2661,0.177,0.1455,0.3404,2.2321,2.5455,0.3857,0.1264,0.2299,0.5633,0.322
